Date,DJIA,NASDAQ,AP,LE-DJIA,LE-NASDAQ,LE-AP
1/3/2012,12397.37988,2648.719971,208.6018829,0,0,0
1/4/2012,12418.41992,2648.360107,210.3832855,0.001694261,-0.000135882,0.008467415
1/5/2012,12415.7002,2669.860107,210.1276398,-0.000219055,0.008052856,-0.001216621
1/6/2012,12359.91992,2674.219971,209.2546539,-0.004512997,0.001630331,-0.004171883
1/9/2012,12392.69043,2676.560059,210.4461975,0.002644342,0.000874289,0.005661987
1/10/2012,12462.46973,2702.5,208.9361572,0.005599155,0.009598498,-0.007227281
1/11/2012,12449.4502,2710.76001,213.9500122,-0.001045792,0.00304712,0.023434703
1/12/2012,12471.01953,2724.699951,215.2084656,0.001729556,0.005116138,0.005847602
1/13/2012,12422.05957,2710.669922,218.0201416,-0.003941372,-0.005175853,0.012896405
1/17/2012,12482.07031,2728.080078,216.171875,0.004807755,0.006381835,-0.008549986
1/18/2012,12578.9502,2769.709961,215.1533661,0.007701747,0.015030412,-0.004733874
1/19/2012,12623.98047,2788.330078,214.225296,0.003567042,0.006677874,-0.004332215
1/20/2012,12720.48047,2786.699951,214.9410095,0.007586191,-0.000584967,0.003329814
1/23/2012,12708.82031,2784.169922,214.9056396,-0.000917486,-0.000908719,-0.000164583
1/24/2012,12675.75,2786.639893,221.6930542,-0.002608943,0.000886362,0.030616271
1/25/2012,12758.84961,2818.310059,220.5566101,0.006513096,0.011237289,-0.005152619
1/26/2012,12734.62988,2805.280029,224.0289612,-0.001901879,-0.004644823,0.015499563
1/27/2012,12660.45996,2816.550049,229.3692627,-0.005858391,0.004001356,0.023282551
1/30/2012,12653.71973,2811.939941,235.0123596,-0.000532668,-0.001639476,0.024011916
1/31/2012,12632.91016,2813.840088,235.5786438,-0.001647251,0.000675286,0.002403801
2/1/2012,12716.45996,2848.27002,230.8517761,0.006570209,0.012088015,-0.020475769
2/2/2012,12705.41016,2859.679932,233.431488,-0.000869693,0.003989926,0.011051259
2/3/2012,12862.23047,2905.659912,232.0394135,0.012192311,0.015824282,-0.005999302
2/6/2012,12845.12988,2901.98999,235.4449158,-0.00133129,-0.001264623,0.014464115
2/7/2012,12878.2002,2904.080078,232.7197113,0.00256793,0.000719707,-0.011710243
2/8/2012,12883.9502,2915.860107,233.6399536,0.000446292,0.004039984,0.00393872
2/9/2012,12890.45996,2927.22998,240.5256958,0.000505006,0.003884175,0.028627886
2/10/2012,12801.23047,2903.879883,243.7699585,-0.006970384,-0.008041,0.013308706
2/13/2012,12874.04004,2931.389893,240.2307739,0.005655534,0.00938463,-0.014732436
2/14/2012,12878.28027,2931.830078,238.0875702,0.000329254,0.00015014,-0.009001746
2/15/2012,12780.9502,2915.830078,238.4178772,-0.007615245,-0.005487288,0.001385412
2/16/2012,12904.08008,2959.850098,241.3121796,0.009541934,0.014872381,0.011994017
2/17/2012,12949.87012,2951.780029,240.2307739,0.003535946,-0.002733967,-0.004501528
2/21/2012,12965.69043,2948.570068,239.5189514,0.001220167,-0.00108865,-0.002971884
2/22/2012,12938.66992,2933.169922,241.7880249,-0.002088353,-0.005250342,0.009384557
2/23/2012,12984.69043,2956.97998,240.6161346,0.003544213,0.008052154,-0.004870373
2/24/2012,12982.9502,2963.75,241.2256622,-0.00013404,0.002284275,0.002526794
2/27/2012,12981.50977,2966.159912,243.6008911,-0.00011096,0.000812469,0.009750493
2/28/2012,13005.12012,2986.76001,248.4260254,0.001815466,0.006897139,0.019422821
2/29/2012,12952.07031,2966.889893,249.361908,-0.004095856,-0.006697288,0.00375311
3/1/2012,12980.2998,2988.969971,247.7181854,0.002174795,0.007387186,-0.006635454
3/2/2012,12977.57031,2976.189941,248.4338684,-0.000210324,-0.004294091,0.002880779
3/5/2012,12962.80957,2950.47998,254.4073181,-0.001138699,-0.008713823,0.023479866
3/6/2012,12759.15039,2910.320068,248.567627,-0.015961814,-0.013799139,-0.02349337
3/7/2012,12837.33008,2935.689941,243.1643677,0.006090027,0.008641878,-0.022220605
3/9/2012,12922.01953,2988.340088,249.4366608,0.006553887,0.017618526,0.025145835
3/12/2012,12959.70996,2983.659912,248.5518646,0.002908277,-0.001568602,-0.003559805
3/13/2012,13177.67969,3039.879883,250.6282043,0.016540828,0.018494142,0.008284541
3/14/2012,13194.09961,3040.72998,252.0084991,0.00124449,0.00027957,0.005477176
3/15/2012,13252.75977,3056.370117,252.8539886,0.00442626,0.005117226,0.003343786
3/16/2012,13232.62012,3055.26001,252.4725189,-0.00152197,-0.000363343,-0.001510936
3/19/2012,13239.12988,3078.320068,241.7014771,0.000491706,0.007491118,-0.044563409
3/20/2012,13170.19043,3074.149902,237.183075,-0.005234507,-0.001356527,-0.019050272
3/21/2012,13124.62012,3075.320068,240.8914185,-0.003472124,0.000380502,0.015394253
3/22/2012,13046.13965,3063.320068,241.5520782,-0.006015609,-0.003917318,0.002735062
3/23/2012,13080.73047,3067.919922,244.7256012,0.00264441,0.001499339,0.012967679
3/26/2012,13241.62988,3122.570068,240.7223206,0.012151028,0.017501656,-0.016630284
3/27/2012,13197.73047,3120.350098,243.5497742,-0.003326285,-0.000711449,0.011609346
3/28/2012,13126.20996,3104.959961,244.1632385,-0.005448679,-0.00495663,0.002512517
3/29/2012,13145.82031,3095.360107,250.7736816,0.001491756,-0.003101369,0.026360195
3/30/2012,13212.04004,3091.570068,254.9814758,0.005012075,-0.001225927,0.016502352
4/2/2012,13264.49023,3119.699951,256.6645508,0.003954181,0.009016855,0.006557489
4/3/2012,13199.5498,3113.570068,263.9789124,-0.004919897,-0.001968763,0.027708128
4/4/2012,13074.75,3068.090088,261.3913879,-0.0095451,-0.014823548,-0.009899042
4/9/2012,12929.58984,3047.080078,257.8954468,-0.011226973,-0.006895129,-0.013555653
4/10/2012,12715.92969,2991.219971,256.125824,-0.016802558,-0.018674691,-0.006909193
4/11/2012,12805.38965,3016.459961,254.5764008,0.006986118,0.008367421,-0.00608628
4/12/2012,12986.58008,3055.550049,256.0549927,0.013952128,0.012793143,0.005774509
4/13/2012,12849.58984,3011.330078,259.6296387,-0.010661059,-0.014684531,0.013768251
4/16/2012,12921.41016,2988.399902,263.8334045,0.005558242,-0.007673061,0.01593341
4/17/2012,13115.54004,3042.820068,261.7650146,0.014801516,0.01788478,-0.007901705
4/18/2012,13032.75,3031.449951,260.4200134,-0.006352461,-0.003750719,-0.005164738
4/19/2012,12964.09961,3007.560059,261.8121643,-0.005295423,-0.00794328,0.005317365
4/20/2012,13029.25977,3000.449951,262.7323608,0.005001064,-0.00236968,0.00350241
4/23/2012,12927.16992,2970.449951,272.992157,-0.007897309,-0.01009948,0.037582751
4/24/2012,13001.55957,2961.600098,272.2843323,0.005721594,-0.0029882,-0.002599579
4/25/2012,13090.71973,3029.629883,269.1619263,0.006810944,0.022454817,-0.011600474
4/26/2012,13204.62012,3050.610107,273.8572998,0.008625798,0.006877386,0.017145329
4/27/2012,13228.30957,3069.199951,277.1054993,0.001790815,0.006056902,0.011721887
4/30/2012,13213.62988,3046.360107,277.3808289,-0.001110951,-0.007497421,0.000992605
5/2/2012,13268.57031,3059.850098,277.6954041,0.004140644,0.00440871,0.001132807
5/3/2012,13206.58984,3024.300049,283.4210815,-0.004693147,-0.011754802,0.020202017
5/4/2012,13038.26953,2956.340088,284.3452148,-0.012909712,-0.02298787,0.00325004
5/7/2012,13008.53027,2957.76001,286.6299438,-0.002286135,0.000480067,0.007971006
5/8/2012,12932.08984,2946.27002,287.506897,-0.005910911,-0.003899843,0.003050199
5/9/2012,12835.05957,2934.709961,291.6910706,-0.007559783,-0.00393908,0.014344538
